Term,Count,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
better,465,0.00029205607,0.00047794118,0.00041409326,0.0005603026,0.0003687089,0.00034529535,0.00047485635,0.0004318213,0.00029890003,0.00034458993,0.0003511049,0.00040731538,0.00051008695,0.0005219486,0.0005288568,0.000620228,0.00031685087,0.00065026013
half,462,0.00058411213,0.000625,0.00040528277,0.00051361066,0.0004916119,0.00029596745,0.00054608483,0.00041219307,0.00035868006,0.0004020216,0.00045750034,0.00043446975,0.00028054783,0.00045503213,0.0005288568,0.00055606646,0.00035412743,0.00030012004
light,461,0,0.00033088235,0.0003259883,0.000396881,0.00038407178,0.00044395117,0.00054608483,0.00031405187,0.00040351506,0.00047381117,0.00043622125,0.00042089255,0.00057384785,0.0004684154,0.00046061722,0.0005346793,0.00046595716,0.0005002001
men,461,0,0.00014705882,0.0005110087,0.00029182425,0.0003226203,0.000542607,0.00054608483,0.00064773194,0.00032879005,0.00055995863,0.00034046537,0.0007195905,0.0004463261,0.00033458244,0.00029001824,0.00047051779,0.00039140403,0.00045018006
comedy,460,0,0.00033088235,0.00030836734,0.00021011346,0.00027653167,0.00024663954,0.0004036279,0.00041219307,0.00025406503,0.0003876637,0.00063837256,0.00082820794,0.0006376087,0.0004684154,0.00046061722,0.00049190497,0.0004100423,0.0005002001
makes,460,0.00029205607,0.00014705882,0.00021145189,0.0002801513,0.0002611688,0.000542607,0.0004036279,0.00052996253,0.00028395504,0.00031587412,0.00038302355,0.0004616241,0.00048458262,0.0007360814,0.000494737,0.00072716386,0.00078280806,0.0007503001
movement,457,0,0.00044117647,0.00040528277,0.0003501891,0.00035334603,0.0003699593,0.0002849138,0.00011776945,0.00016439502,0.00064610614,0.0005000585,0.0003258523,0.00043357394,0.00048179872,0.0006823959,0.00079132535,0.0006896166,0.000100040015
performances,457,0.00029205607,0.00077205885,0.00025550436,0.0002801513,0.00035334603,0.0003206314,0.00045111353,0.00025516714,0.00044835007,0.0005456007,0.00063837256,0.0005838187,0.0003953174,0.00032119916,0.00034119794,0.0005988408,0.00050323375,0.00065026013
action,453,0.0008761682,0.00047794118,0.0003700408,0.0005019377,0.00066060346,0.00034529535,0.00035614226,0.00037293657,0.00041846005,0.00034458993,0.00030854673,0.00044804692,0.0003953174,0.00044164882,0.00034119794,0.00051329215,0.00054051034,0.0005002001
think,453,0.00058411213,0.00022058823,0.00033479882,0.00029182425,0.00050697476,0.000517943,0.0006647989,0.0006084755,0.00041846005,0.00045945324,0.00043622125,0.00050235563,0.0004973348,0.000495182,0.00040943755,0.00027803323,0.00024229773,0.00025010004
felt,446,0,0.00029411764,0.00025550436,0.0002801513,0.00019971732,0.00039462326,0.0004036279,0.0005888472,0.0006127451,0.000502527,0.000489419,0.00019008051,0.00038256522,0.00024089936,0.00056297664,0.0006416152,0.0008200846,0.0009003601
instead,445,0.00029205607,0.00058823527,0.00059911364,0.00038520803,0.00029189454,0.00029596745,0.0004036279,0.0006084755,0.00047824008,0.00033023203,0.00029790722,0.00042089255,0.00053559133,0.0004282655,0.00034119794,0.0003208076,0.00037276573,0.00025010004
know,445,0.00058411213,0.00033088235,0.00041409326,0.0006186674,0.00029189454,0.000542607,0.00042737072,0.00052996253,0.00041846005,0.00037330575,0.0004149422,0.00038016101,0.0004463261,0.00040149892,0.00029001824,0.00034219475,0.00033548917,0.0005502201
years,445,0.0008761682,0.00029411764,0.00024669387,0.00040855395,0.00039943465,0.00039462326,0.00035614226,0.00025516714,0.00034373507,0.00043073742,0.00036174446,0.00035300668,0.0005993522,0.00050856534,0.00037531773,0.00055606646,0.00065234,0.0010004002
white,440,0,0.00033088235,0.0005638717,0.00051361066,0.0005223376,0.00041928721,0.0002849138,0.00035330834,0.00040351506,0.00034458993,0.0003936631,0.00020365769,0.00029330002,0.0005754818,0.0005288568,0.00042774345,0.00035412743,0.00015006002
things,439,0,0.00044117647,0.00059911364,0.00049026473,0.000476249,0.0005919349,0.00042737072,0.00039256483,0.00028395504,0.00018665288,0.0003936631,0.00040731538,0.00030605218,0.00045503213,0.00046061722,0.00040635627,0.0002982126,0.00025010004
works,435,0.00058411213,0.00014705882,0.00027312533,0.00036186207,0.0005377005,0.0003206314,0.00030865663,0.00011776945,0.00032879005,0.00027280036,0.00059581443,0.0006517046,0.0004463261,0.00040149892,0.00047767712,0.0005988408,0.00050323375,0.00035014006
human,433,0,0.00047794118,0.00037885128,0.00038520803,0.0005684262,0.000542607,0.00030865663,0.00052996253,0.00040351506,0.00033023203,0.00057453534,0.00033942948,0.00033155654,0.00033458244,0.00035825785,0.0004491306,0.00024229773,0.0005002001
actually,432,0.00029205607,0.00036764707,0.0003436093,0.00037353503,0.0004147975,0.00046861512,0.00018994254,0.00025516714,0.00026901005,0.0004020216,0.0006064539,0.00067885895,0.0006758652,0.0006022484,0.00027295836,0.00012832304,9.319143E-05,0.00025010004
right,429,0.00058411213,0.00025735295,0.00050219824,0.0005252836,0.00044552327,0.00041928721,0.00037988508,0.00037293657,0.00044835007,0.00037330575,0.00030854673,0.0003937382,0.00035706087,0.00030781585,0.00044355734,0.00042774345,0.0002982126,0.0005002001
certainly,427,0.0008761682,0.00014705882,0.00042290377,0.0004669188,0.00029189454,0.00044395117,0.00037988508,0.0002944236,0.00041846005,0.00033023203,0.0004149422,0.00044804692,0.00038256522,0.000495182,0.00046061722,0.00023525889,0.0005591486,0.00030012004
body,426,0,0.00044117647,0.00049338775,0.00024513237,0.00044552327,0.00046861512,0.00042737072,0.0003336801,0.00035868006,0.0003876637,0.00051069807,0.0002715436,0.00030605218,0.00030781585,0.00047767712,0.00042774345,0.00063370174,0.00030012004
